,Column1,id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url,Artist Entity,Unnamed: 0
1,145.0,12918,Ruth Baehnisch,,1910–1997,19100.0,19970.0,,,http://www.tate.org.uk/art/artists/ruth-baehnisch-12918,Q94774202,
3,244.0,18264,Nikolaj Bendix Skyum Larsen,,born 1971,19710.0,,,,http://www.tate.org.uk/art/artists/nikolaj-bendix-skyum-larsen-18264,Q38054711,
4,255.0,18242,Caroline Bergvall,,born 1962,19620.0,,,,http://www.tate.org.uk/art/artists/caroline-bergvall-18242,Q5044980,
5,684.0,3807,Samuel Cooper,,1609–1672,16090.0,16720.0,,,http://www.tate.org.uk/art/artists/samuel-cooper-3807,Q1382316,
6,922.0,12074,Gaspard Dughet,,1615–1675,16150.0,16750.0,,,http://www.tate.org.uk/art/artists/gaspard-dughet-12074,Q741375,
7,979.0,14308,Eugenio Espinoza,,born 1950,19500.0,,,,http://www.tate.org.uk/art/artists/eugenio-espinoza-14308,Q77349603,
9,1344.0,18244,Lawrence Abu Hamdan,,born 1985,19850.0,,,,http://www.tate.org.uk/art/artists/lawrence-abu-hamdan-18244,Q28124166,
10,1440.0,3819,Stephen Herwijck,,c.1530–1567,15300.0,15670.0,,,http://www.tate.org.uk/art/artists/stephen-van-herwijck-3819,Q7615415,
12,1540.0,13334,Enrique Huerta,,,,,,,http://www.tate.org.uk/art/artists/enrique-huerta-13334,Q29419664,
17,1760.0,17121,Nikolai Kochergin,,1897 – 1974,18970.0,19740.0,,,http://www.tate.org.uk/art/artists/nikolai-kochergin-17121,Q43906005,
18,1762.0,5645,Nikolai Kogout,,1891–1959,18910.0,19590.0,,,http://www.tate.org.uk/art/artists/nikolai-kogout-5645,Q15068972,
21,1815.0,2633,Lairesse,,,,,,,http://www.tate.org.uk/art/artists/lairesse-2633,Q533958,
24,1880.0,17197,Hubert Le Sueur,,c.1590 – after 1658,15900.0,16580.0,,,http://www.tate.org.uk/art/artists/hubert-le-sueur-17197,Q3142050,
25,1889.0,5813,Alexander Lebedev,,,,,,,http://www.tate.org.uk/art/artists/alexander-lebedev-5813,Q16670267,
33,2238.0,5648,Dmitrii Moor,,1883–1946,18830.0,19460.0,,,http://www.tate.org.uk/art/artists/dmitrii-moor-5648,Q504262,
34,2413.0,17008,James Orrock,,1829–1913,18290.0,19130.0,,,http://www.tate.org.uk/art/artists/james-orrock-17008,Q6140661,
35,2443.0,18372,Sylvia Pankhurst,,1882 – 1960,18820.0,19600.0,,,http://www.tate.org.uk/art/artists/sylvia-pankhurst-18372,Q298213,
39,2541.0,11741,Paulo Pires,,born 1928,19280.0,,,,http://www.tate.org.uk/art/artists/paulo-pires-11741,Q77288304,
42,2613.0,15967,R. H. Quaytman,,born 1961,19610.0,,"Boston, United States",,http://www.tate.org.uk/art/artists/r-h-quaytman-15967,Q13560749,
47,2995.0,13098,Monika Sosnowska,,born 1972,19720.0,,,,http://www.tate.org.uk/art/artists/monika-sosnowska-13098,Q520491,
48,3023.0,17224,William Staite-Murray,,,,,,,http://www.tate.org.uk/art/artists/william-staite-murray-17224,Q8018707,
49,3068.0,5739,Adolf Strakhov-Braslavsky,,1896–1979,18960.0,19790.0,,,http://www.tate.org.uk/art/artists/adolf-strakhov-braslavsky-5739,Q4443469,
54,3261.0,17036,Adolphe Valette,,1876 – 1942,18760.0,19420.0,,,http://www.tate.org.uk/art/artists/adolphe-valette-17036,Q3237916,
57,3305.0,17732,Francis Vivares,,,,,,,http://www.tate.org.uk/art/artists/francis-vivares-17732,Q5493438,
59,3386.0,18071,Richard Westmacott,,1775–1856,17750.0,18560.0,,,http://www.tate.org.uk/art/artists/richard-westmacott-18071,Q6238282,
