id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url,Artist Entity
12918,Ruth Baehnisch,male,1910–1997,191000,199700,,,http://www.tate.org.uk/art/artists/ruth-baehnisch-12918,Q94774202
18264,Nikolaj Bendix Skyum Larsen,male,born 1971,197100,,,,http://www.tate.org.uk/art/artists/nikolaj-bendix-skyum-larsen-18264,Q38054711
18242,Caroline Bergvall,female,born 1962,196200,,,,http://www.tate.org.uk/art/artists/caroline-bergvall-18242,Q5044980
3807,Samuel Cooper,male,1609–1672,160900,167200,,,http://www.tate.org.uk/art/artists/samuel-cooper-3807,Q1382316
12074,Gaspard Dughet,male,1615–1675,161500,167500,,,http://www.tate.org.uk/art/artists/gaspard-dughet-12074,Q741375
14308,Eugenio Espinoza,male,born 1950,195000,,,,http://www.tate.org.uk/art/artists/eugenio-espinoza-14308,Q77349603
18244,Lawrence Abu Hamdan,male,born 1985,198500,,,,http://www.tate.org.uk/art/artists/lawrence-abu-hamdan-18244,Q28124166
3819,Stephen Herwijck,male,c.1530–1567,153000,156700,,,http://www.tate.org.uk/art/artists/stephen-van-herwijck-3819,Q7615415
13334,Enrique Huerta,male,,,,,,http://www.tate.org.uk/art/artists/enrique-huerta-13334,Q29419664
17121,Nikolai Kochergin,male,1897 – 1974,189700,197400,,,http://www.tate.org.uk/art/artists/nikolai-kochergin-17121,Q43906005
5645,Nikolai Kogout,male,1891–1959,189100,195900,,,http://www.tate.org.uk/art/artists/nikolai-kogout-5645,Q15068972
2633,Lairesse,male,,,,,,http://www.tate.org.uk/art/artists/lairesse-2633,Q533958
17197,Hubert Le Sueur,male,c.1590 – after 1658,159000,165800,,,http://www.tate.org.uk/art/artists/hubert-le-sueur-17197,Q3142050
5813,Alexander Lebedev,male,,,,,,http://www.tate.org.uk/art/artists/alexander-lebedev-5813,Q16670267
5648,Dmitrii Moor,male,1883–1946,188300,194600,,,http://www.tate.org.uk/art/artists/dmitrii-moor-5648,Q504262
17008,James Orrock,male,1829–1913,182900,191300,,,http://www.tate.org.uk/art/artists/james-orrock-17008,Q6140661
18372,Sylvia Pankhurst,female,1882 – 1960,188200,196000,,,http://www.tate.org.uk/art/artists/sylvia-pankhurst-18372,Q298213
