,id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url,Artist Entity
411,10428,Christina Broom,,1863–1939,1863.0,1939.0,,,http://www.tate.org.uk/art/artists/christina-broom-10428,Q5110756
897,13086,Juan Downey,,1940–1993,1940.0,1993.0,,,http://www.tate.org.uk/art/artists/juan-downey-13086,Q3817219
1218,13568,Jack Goldstein,,1945–2003,1945.0,2003.0,,,http://www.tate.org.uk/art/artists/jack-goldstein-13568,Q1677042
1810,13736,Suzanne Lacy,,born 1945,1945.0,,,,http://www.tate.org.uk/art/artists/suzanne-lacy-13736,Q7650894
2253,2634,Morin,,,,,,,http://www.tate.org.uk/art/artists/morin-2634,Q104382715
2800,11737,Eduardo Salvatore,,1914–2006,1914.0,2006.0,,,http://www.tate.org.uk/art/artists/eduardo-salvatore-11737,Q10270768
2805,12947,Gunther Sander,,1907– 1986,1907.0,1986.0,,,http://www.tate.org.uk/art/artists/gunther-sander-12947,Q61817490
2973,2735,Stephanie Smith,,"born 1968, born 1961",1961.0,,,,http://www.tate.org.uk/art/artists/stephanie-smith-2735,Q100391910
3043,5227,Haim Steinbach,,born 1944,1944.0,,,,http://www.tate.org.uk/art/artists/haim-steinbach-5227,Q5639315
3495,11740,José Yalenti,,1895–1967,1895.0,1967.0,,,http://www.tate.org.uk/art/artists/jose-yalenti-11740,Q20018089
