,Name
Dame Elisabeth Frink,125
Dame Barbara Hepworth,123
Susanna Duncombe,76
Diane Arbus,69
Elizabeth Rigby,60
Kim Lim,59
Lady Wharncliffe,55
Paula Rego,46
Rebecca Horn,42
Helena Almeida,39
Jenny Holzer,39
Helen Frankenthaler,38
Vija Celmins,35
Tracey Moffatt,34
Alison Wilding,31
Tacita Dean,31
Bridget Riley,31
Wilhelmina Barns-Graham,30
Rachel Whiteread,30
Cindy Sherman,30
Guerrilla Girls,30
Sarah Lucas,29
Prunella Clough,29
Louise Bourgeois,29
Lady Susan Elizabeth Percy,27
Tracey Emin,26
Ursula Schulz-Dornburg,23
Joan Mitchell,23
Helen Beatrix Potter,22
Lady Edna Clarke Hall,22
Cornelia Parker,21
Frances Richards,20
Roni Horn,19
Maggi Hambling,18
OBE Gillian Wearing,18
Elizabeth Murray,18
Francesca Woodman,18
Catherine Yass,17
Phyllida Barlow,17
Edwina Sandys,17
Lisa Milroy,16
Paule Vézelay,16
Helen Chadwick,15
OBE Gillian Ayres,15
Shirazeh Houshiary,15
Germaine Richier,15
Linda McCartney,14
Gwen John,14
Dame Ethel Walker,14
Rosemarie Trockel,13
Mary Fedden,13
Lisette Model,12
Ana Maria Pacheco,12
Paz Errazuriz,12
Uta Barth,12
Sarah Morris,11
Vanessa Bell,11
Gertrude Hermes,11
Marlene Dumas,10
Mona Hatoum,10
Susan Rothenberg,10
Lynne Cohen,10
Carey Young,10
Zsuzsi Roboz,9
Berenice Sydney,9
Birgit Skiöld,9
Eileen Agar,8
Shelagh Cluett,8
Rita Donagh,8
Taryn Simon,8
Winifred Nicholson,8
Margaret Harrison,8
Thérèse Oulton,8
Frances Hodgkins,8
Lucia Nogueira,8
Veronica Ryan,7
Linder,7
Louise Nevelson,7
Charlotte Posenenske,7
Elizabeth Blackadder,7
Rineke Dijkstra,7
Liliane Lijn,7
Kiki Smith,7
Susan Hiller,7
Mary Martin,7
Lady Mary Rennell,7
Nan Goldin,7
OBE Sam Taylor-Johnson,7
Shirana Shahbazi,7
